step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,153,1,0.11350386813449642,0.0,0.5,0.49325949401125796,0.0,0.5882352941176471
2,458,2,0.07458497579464547,0.0,0.3333333333333333,,,
3,771,3,0.05322216827665658,0.0,0.875,,,
4,940,4,0.08861282723111626,0.0,0.6,,,
5,1421,5,0.029454707438196472,0.0,0.6666666666666666,,,
6,1606,6,0.06665002720922193,0.0,0.8333333333333334,,,
7,1791,7,0.018294738624273003,1.0,1.0,,,
8,2104,8,0.032664525499255324,0.0,0.5,,,
9,2321,9,0.0063563650824315235,1.0,1.0,0.08715693935718821,0.0,0.4444444444444444
10,2562,10,0.019468227168781403,0.0,0.75,,,
11,2859,11,0.00973232916588536,1.0,1.0,,,
12,3148,12,0.021378216738501377,1.0,1.0,,,
13,3525,13,0.008108455948301526,1.0,1.0,,,
14,3798,14,0.010824551640359044,1.0,1.0,,,
15,4015,15,0.006412207974191306,1.0,1.0,,,
16,4184,16,0.020386791810267042,1.0,1.0,,,
17,4401,17,0.01987140416437287,1.0,1.0,0.34053455038761893,0.0,0.5
18,4642,18,0.01588244568397685,1.0,1.0,,,
19,4883,19,0.013653785832545432,1.0,1.0,,,
20,5180,20,0.009589879751491968,1.0,1.0,,,
21,5453,21,0.015327348496783034,1.0,1.0,,,
22,5670,22,0.02028258096137064,1.0,1.0,,,
23,5959,23,0.01614671092400171,1.0,1.0,,,
24,6136,24,0.01582308588926563,1.0,1.0,,,
25,6353,25,0.005364965791294252,1.0,1.0,0.3004007145361671,0.0,0.4444444444444444
26,6562,26,0.0041888738079801134,1.0,1.0,,,
27,6763,27,0.01781174353336974,1.0,1.0,,,
28,7068,28,0.03358862747742382,0.0,0.75,,,
29,7325,29,0.016110550767662345,1.0,1.0,,,
30,7526,30,0.012288235092411694,1.0,1.0,,,
31,7743,31,0.045385680171891,0.0,0.6,,,
32,7912,32,0.03864130542776836,0.0,0.8,,,
33,8153,33,0.022151808562605388,0.0,0.8333333333333334,0.1360952561127062,0.0,0.75
34,8394,34,0.012363011593498147,1.0,1.0,,,
35,8643,35,0.011586790188693151,1.0,1.0,,,
36,8796,36,0.08317156345885689,0.0,0.75,,,
37,8997,37,0.008736041146855405,1.0,1.0,,,
38,9310,38,0.01615577396806753,1.0,1.0,,,
39,9479,39,0.020712465849556747,1.0,1.0,,,
40,9752,40,0.018328244667530986,1.0,1.0,,,
41,10049,41,0.007597335984246037,1.0,1.0,0.23857455351177576,0.0,0.6666666666666666
42,10522,42,0.011345318938039224,1.0,1.0,,,
43,10683,43,0.06907596241086211,0.0,0.8,,,
44,10852,44,0.030839933082988435,0.0,0.8333333333333334,,,
45,11141,45,0.028463300189520545,0.0,0.8333333333333334,,,
46,11446,46,0.007995299464552673,1.0,1.0,,,
47,11671,47,0.019766960541796306,1.0,1.0,,,
48,12000,48,0.008501161675387222,1.0,1.0,,,
49,12177,49,0.009747100290320016,1.0,1.0,0.2416433952833146,0.0,0.6923076923076923
50,12346,50,0.032438170488879044,0.0,0.9,,,
51,12659,51,0.015298608654334567,0.0,0.75,,,
52,12916,52,0.021249744131146074,0.0,0.75,,,
53,13069,53,0.02228137425240244,1.0,1.0,,,
54,13350,54,0.018346049774703388,0.0,0.8571428571428571,,,
